year,number_collisions,ksi_prop,fatal_prop,ksi_count,fatal_count,city
2010,418,15.7894737,0.4784689,66,2,Edinburgh
2011,441,17.4603175,0.4535147,77,2,Edinburgh
2012,410,23.902439,2.195122,98,9,Edinburgh
2013,386,16.0621762,0.5181347,62,2,Edinburgh
2014,433,19.1685912,0.9237875,83,4,Edinburgh
2015,376,19.6808511,0.5319149,74,2,Edinburgh
2016,366,19.6721311,0.5464481,72,2,Edinburgh
2017,314,21.656051,0.3184713,68,1,Edinburgh
2018,260,20.3846154,1.5384615,53,4,Edinburgh
2019,153,33.9869281,0,52,0,Edinburgh
2020,140,37.8571429,1.4285714,53,2,Edinburgh
2021,149,43.6241611,1.3422819,65,2,Edinburgh
2022,158,42.4050633,1.8987342,67,3,Edinburgh
2010,435,26.43678161,1.379310345,115,6,Glasgow
2011,420,29.04761905,1.428571429,122,6,Glasgow
2012,446,24.21524664,1.569506726,108,7,Glasgow
2013,369,22.49322493,0.54200542,83,2,Glasgow
2014,378,25.92592593,2.645502646,98,10,Glasgow
2015,362,24.86187845,2.486187845,90,9,Glasgow
2016,377,25.72944297,0.265251989,97,1,Glasgow
2017,297,23.56902357,1.346801347,70,4,Glasgow
2018,263,28.8973384,1.901140684,76,5,Glasgow
2019,226,37.16814159,1.769911504,84,4,Glasgow
2020,152,48.68421053,1.973684211,74,3,Glasgow
2021,158,45.56962025,3.164556962,72,5,Glasgow
2022,212,41.03773585,1.886792453,87,4,Glasgow
