year,number_collisions,ksi_prop,fatal_prop,ksi_count,fatal_count,annual_avg,cycle_avg_year,bus_avg_year,car_avg_year,city,annual_aadf,ksi_annual_rate,collisions_annual_rate
2010,1179,10.8566582,0.3392706,128,4,21292.71028,140.7663551,472.7009346,17211.8972,Edinburgh,7771839.252,1.646971789,15.17015422
2011,1181,14.4792549,0.762066,171,9,21803.15741,153.9444444,459.0462963,17602.24074,Edinburgh,7958152.455,2.148739936,14.84012787
2012,1163,16.1650903,1.1177988,188,13,21487.86111,145.0740741,478.7685185,17330.62037,Edinburgh,7843069.305,2.397020767,14.82837847
2013,1159,11.6479724,0.6902502,135,8,21592,145.5740741,498.3240741,17333.51852,Edinburgh,7881080,1.712963198,14.70610627
2014,1259,12.3907863,0.7148531,156,9,21880.11111,140.5277778,495.6666667,17476.32407,Edinburgh,7986240.555,1.953359643,15.76461404
2015,1111,13.0513051,0.270027,145,3,22784.81308,132.8224299,516.6261682,18066.94393,Edinburgh,8316456.774,1.743530976,13.35905458
2016,1143,14.5231846,0.7874016,166,9,23278.8972,124.5794393,481.7757009,18325.30841,Edinburgh,8496797.478,1.953677258,13.45212715
2017,907,15.876516,0.6615215,144,6,23082.72897,123.0186916,450.9626168,18099.49533,Edinburgh,8425196.074,1.709159036,10.76532809
2018,768,15.625,0.6510417,120,5,20690.82353,125.1512605,375.6890756,16226.2437,Edinburgh,7552150.588,1.588951367,10.16928875
2019,728,25.4120879,0.8241758,185,6,18937.81203,135.8496241,350.1353383,14928.14286,Edinburgh,6912301.391,2.676387928,10.53194817
2020,436,31.1926606,1.3761468,136,6,17370.89796,167.9285714,270.7346939,13093.40816,Edinburgh,6340377.755,2.144982606,6.876561884
2021,482,31.3278008,0.6224066,151,3,19901.31959,136.9175258,284.5360825,14966.21649,Edinburgh,7263981.65,2.078749745,6.635479317
2022,507,33.1360947,0.9861933,168,5,22134.86,128.02,300.83,16663.8,Edinburgh,8079223.9,2.079407652,6.275355236
2010,1337,15.7068063,0.7479432,210,10,28604.82119,61.85430464,413.8013245,22837.8543,Glasgow,10440759.73,2.011347884,12.80558153
2011,1280,14.140625,1.015625,181,13,28921.43046,71.82781457,423.9006623,23036.99338,Glasgow,10556322.12,1.714612324,12.12543522
2012,1310,14.8091603,0.5343511,194,7,27751.13265,63.45918367,400.25,21887.09694,Glasgow,10129163.42,1.915261824,12.93295355
2013,1081,13.5985199,0.3700278,147,4,27999.28218,69.02475248,418.2772277,21967.61386,Glasgow,10219738,1.43839304,10.57757058
2014,1238,13.4087237,1.1308562,166,14,27956.71642,67.59701493,388.0845771,21973.44279,Glasgow,10204201.49,1.626780891,12.13225749
2015,1198,13.7729549,1.1686144,165,14,27158.89055,67.99502488,365.079602,21354.41294,Glasgow,9912995.051,1.664481816,12.08514676
2016,1276,12.539185,0.5485893,160,7,27836.60302,67.92964824,323.8542714,21885.44221,Glasgow,10160360.1,1.574747336,12.55861
2017,1075,13.9534884,0.6511628,150,7,28301.315,66.655,305.295,22008.475,Glasgow,10329979.98,1.452084131,10.40660294
2018,907,17.3098126,0.9922822,157,9,26302.81517,74.48815166,271.8815166,20432.06635,Glasgow,9600527.537,1.635326803,9.447397515
2019,845,23.5502959,1.0650888,199,9,24683.59657,85.75965665,252.3819742,19270.09442,Glasgow,9009512.748,2.208776496,9.378975574
2020,568,32.9225352,2.2887324,187,13,21013.0203,110.2030457,170.8629442,15615.96954,Glasgow,7669752.41,2.438149109,7.405714939
2021,552,34.7826087,1.6304348,192,9,24380.04523,88.30653266,174.7788945,18187.51759,Glasgow,8898716.509,2.157614526,6.203141761
2022,606,34.9834983,1.1551155,212,7,27049.49246,82.9798995,192.6683417,20442.44724,Glasgow,9873064.748,2.147256251,6.137911737
